Name,Type,Latitude,Longitude
Sonotech Medical Center,Clinic,5.5452872,-0.3447896
Methodist Hospital,Hospital,5.5552366,-1.5437239
Tiawiah CHPS Compound,Clinic,6.4138806,-0.8676785
Hass West Africa Hearing Clinic,Clinic,5.5714423,-0.2360584
Wellmark Specialist Hospital,Hospital,5.681192,-0.1933658
Bloom physiotherapy clinic,Clinic,5.5712999,-0.2365437
Global Star HealthCenter,Clinic,5.6753628,-0.1818852
Unnamed Facility,Clinic,5.7353389,-0.2032038
Inkoom Hospital,Hospital,5.6337052,-0.0983326
Essaso CHPS compound,Clinic,5.7645167,-0.6977078
Unnamed Facility,Clinic,5.5467418,-1.5469131
St.florence maternal clinic,Clinic,5.6060038,-1.5500687
Albany Specialist Clinic,Clinic,5.6701424,-0.1838431
Expert's Hand Clinic,Clinic,5.677701,-0.1795796
Unity Medical Center,Clinic,5.6777476,-0.1755571
Bemuah Royal Hospital,Hospital,5.6459731,-0.1568956
Cosmopolitan Health,Clinic,5.6445739,-0.1554561
Achimfo Chips,Clinic,5.7842722,-2.7227839
Agogo Presbyterian hospital,Hospital,6.7965698,-1.0855078
KMA Clinic,Clinic,6.6850947,-1.6229761
Royal Medical Agency Clinic,Clinic,6.6991235,-1.6131289
Unnamed Facility,Hospital,9.8262678,-2.6839137
Kakumdo CHPS Compound,Clinic,5.1426532,-1.2869616
St. Andrew Catholic Hospital,Hospital,5.9244617,0.0176784
Opoku Agyemang Hospital,Hospital,7.5625319,-1.9370078
Alpha and Omega Chiropractic Health Care,Hospital,5.6478002,-0.0733104
Valley View Clinic,Clinic,5.6151555,-0.1982836
MMC Polyclinic,Clinic,5.6120216,-0.1938669
Van J Eye Care,Clinic,5.6126394,-0.1982344
Owusu Memorial Hospital,Hospital,7.3271126,-2.332524
Unnamed Facility,Clinic,5.6933633,-2.653375
Landmark Medical Center,Hospital,5.6535323,-0.075951
Unnamed Facility,Hospital,9.7107233,0.3199154
Scanport Healthcare and Medical Imaging,Hospital,5.5328819,-0.2372229
Unnamed Facility,Hospital,9.6699604,0.1956762
Unnamed Facility,Hospital,9.6709789,0.2478952
Graceland Specialist Hospital,Hospital,6.6624402,-1.5293751
Efan Victory Clinic,Clinic,5.5985308,-0.1988063
Yilo Krobo District Hospital,Hospital,6.0699971,-0.029313
Fountain Medical Services,Hospital,6.5959653,0.5180955
Kama CHPS Compound,Clinic,6.2933476,-2.7147583
Torgorne Health Centre,Clinic,6.1170569,0.13749
Mac Hill Special Clinic,Clinic,6.6732582,-1.6311486
Unnamed Facility,Hospital,6.6919796,-1.7894229
Buterisa CHIPS Compound,Clinic,10.4813523,-1.2795267
Victory Martenity/Clinic,Clinic,6.6880015,-1.5758561
King Medical Consult,Hospital,6.6639225,-1.6433981
peace And love Hospital,Hospital,6.7061049,-1.5306523
CD SPECIALIST HOSPITAL,Hospital,6.6777774,-1.6352316
Ga North Municipal Hospital,Hospital,5.6553167,-0.2778011
Speed Hospital,Hospital,5.7478647,-0.029493
Abomosu Hospital,Hospital,6.3007816,-0.734213
Abomosu Clinic,Hospital,6.3001218,-0.7342024
Mauplus Health Care Service,Hospital,9.407349,-0.8375556
School Infirmary,Clinic,5.1167955,-1.2500586
