date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version,district_name
2023-06-01,2,1011444,RW57,41.0,1.7317073,7.510569,25.731707,59.072357,379.12195,327.59024,53.808167,47.96406,115.49405,final,Bugesera
2023-06-11,2,1011444,RW57,41.0,1.2439024,3.5219512,15.195122,34.002438,306.07318,294.3138,73.268456,51.77913,103.92878,final,Bugesera
2023-06-21,2,1011444,RW57,41.0,1.0243902,2.6227643,4.0,13.655285,251.78047,243.8195,79.03157,48.243702,103.19949,final,Bugesera
2023-07-01,2,1011444,RW57,41.0,0.85365856,1.692683,3.121951,7.8373985,192.87802,191.50731,87.463554,63.267887,100.69754,final,Bugesera
2023-07-11,2,1011444,RW57,41.0,0.36585367,0.85365856,2.2439024,5.1691055,137.31706,144.30325,91.66667,71.23441,95.3208,final,Bugesera
2023-07-21,2,1011444,RW57,41.0,0.80487806,1.8308944,2.0243902,4.377236,77.14634,103.5252,84.97977,74.908966,75.69334,final,Bugesera
2023-08-01,2,1011444,RW57,41.0,1.4146341,4.992683,2.5853658,7.6772356,31.439026,74.58699,64.193306,59.83454,45.785152,final,Bugesera
2023-08-11,2,1011444,RW57,41.0,1.6585366,5.774797,3.878049,12.598374,21.317076,51.769917,61.79732,50.44812,46.357433,final,Bugesera
2023-08-21,2,1011444,RW57,41.0,2.1707318,9.106504,5.243902,19.873983,11.268293,37.906506,50.8328,41.1832,37.91568,final,Bugesera
2023-09-01,2,1011444,RW57,41.0,12.804878,16.501627,16.634148,31.382927,22.341465,46.89756,82.80712,59.462364,52.683525,final,Bugesera
2023-09-11,2,1011444,RW57,41.0,32.682926,18.42439,47.658535,44.03252,53.780487,61.8,160.87047,107.39513,87.994736,final,Bugesera
2023-09-21,2,1011444,RW57,41.0,15.609756,19.609756,61.09756,54.535774,68.36585,78.786995,83.746284,111.02159,87.56234,final,Bugesera
2023-10-01,2,1011444,RW57,41.0,16.780487,29.91057,65.073166,67.94472,84.29268,107.00488,62.38938,96.063385,79.72213,final,Bugesera
2023-10-11,2,1011444,RW57,41.0,39.243904,36.430893,71.63415,85.95122,123.17073,142.5821,106.78965,84.258514,86.84707,final,Bugesera
2023-10-21,2,1011444,RW57,41.0,26.024391,39.01382,82.04878,105.355286,148.39024,179.76505,70.48784,78.880486,83.01908,final,Bugesera
2023-11-01,2,1011444,RW57,41.0,34.048782,45.547966,99.31708,120.99268,181.0244,220.32033,77.250946,82.796135,82.559975,final,Bugesera
2023-11-11,2,1011444,RW57,41.0,28.926828,36.66585,89.0,121.227646,208.2927,251.21138,81.42598,74.46863,83.248726,final,Bugesera
2023-11-21,2,1011444,RW57,41.0,46.634148,42.9252,109.60976,125.13902,252.7561,285.0301,107.73903,88.06718,88.87219,final,Bugesera
2023-12-01,2,1011444,RW57,41.0,20.658537,29.905691,96.21951,109.49675,260.60977,298.43414,73.50817,88.40383,87.53457,final,Bugesera
2023-12-11,2,1011444,RW57,41.0,27.219513,26.860163,94.5122,99.691055,255.14636,306.8699,101.1279,95.0532,83.41502,final,Bugesera
2023-12-21,2,1011444,RW57,41.0,56.26829,34.91301,104.14635,91.67886,295.80487,322.17316,153.50456,112.895775,91.94057,final,Bugesera
2024-01-01,2,1011444,RW57,41.0,20.09756,25.669106,103.58537,87.15691,299.12195,315.18942,81.83336,117.826614,94.98189,final,Bugesera
2024-01-11,2,1011444,RW57,41.0,25.463415,24.311382,101.82927,85.86016,285.34146,303.26178,103.93033,117.57548,94.18666,final,Bugesera
2024-01-21,2,1011444,RW57,41.0,25.756098,27.619513,71.31707,77.6,285.07318,291.4,94.28742,92.39355,97.86545,final,Bugesera
2024-02-01,2,1011444,RW57,41.0,18.756098,25.347967,69.97561,77.27886,269.7805,271.66016,78.279045,91.12378,99.32059,final,Bugesera
2024-02-11,2,1011444,RW57,41.0,22.414635,29.209757,66.926834,82.17724,263.2683,263.81546,80.136894,82.50644,99.796455,final,Bugesera
2024-02-21,2,1011444,RW57,41.0,11.170732,23.110569,52.34146,77.66829,227.80489,243.69186,57.52545,69.36331,93.611786,final,Bugesera
2024-03-01,2,1011444,RW57,41.0,25.95122,43.055283,59.536583,95.37561,233.09756,259.81137,64.407524,64.29508,89.91214,final,Bugesera
2024-03-11,2,1011444,RW57,41.0,17.414635,36.798374,54.536587,102.964226,223.2927,271.00162,53.625614,55.144733,82.71426,final,Bugesera
2024-03-21,2,1011444,RW57,41.0,33.0,53.117073,76.36585,132.97073,200.02438,288.239,65.38526,58.97327,69.91716,final,Bugesera
2024-04-01,2,1011444,RW57,41.0,58.390244,54.00488,108.80488,143.92032,238.31706,316.5748,107.43221,76.41998,75.66422,final,Bugesera
2024-04-11,2,1011444,RW57,41.0,57.878048,48.057724,149.2683,155.17967,270.7317,340.32114,118.50876,96.30953,79.8479,final,Bugesera
2024-04-21,2,1011444,RW57,41.0,76.97561,42.608944,193.2439,144.67154,321.9512,355.31058,172.18532,132.45264,90.7415,final,Bugesera
2024-05-01,2,1011444,RW57,41.0,32.121952,33.930893,166.9756,124.597565,335.31708,363.8935,95.353455,132.69972,92.25348,final,Bugesera
2024-05-11,2,1011444,RW57,41.0,8.609756,28.591871,117.70732,105.13171,321.5122,363.2756,40.515026,111.4187,88.659744,final,Bugesera
2024-05-21,2,1011444,RW57,41.0,4.878049,22.96992,45.609756,85.49268,315.21954,363.13498,35.31669,55.926907,86.984276,final,Bugesera
2024-06-01,2,1011444,RW57,41.0,1.8780488,7.510569,15.365854,59.072357,291.14636,327.59024,54.977905,31.785711,89.042404,final,Bugesera
2024-06-11,2,1011444,RW57,41.0,1.1463414,3.5219512,7.902439,34.002438,274.87802,294.3138,72.123634,33.08111,93.50655,final,Bugesera
2024-06-21,2,1011444,RW57,41.0,1.1219512,2.6227643,4.1463413,13.655285,243.0,243.8195,80.31143,49.028152,99.67064,final,Bugesera
2024-07-01,2,1011444,RW57,41.0,0.8292683,1.692683,3.097561,7.8373985,185.43903,191.50731,87.09912,63.077896,96.911934,final,Bugesera
2024-07-11,2,1011444,RW57,41.0,0.63414633,0.85365856,2.5853658,5.1691055,128.19513,144.30325,96.25,74.59226,89.211136,final,Bugesera
2024-07-21,2,1011444,RW57,41.0,0.8292683,1.8308944,2.292683,4.377236,52.048786,103.5252,85.33682,77.77007,52.567314,final,Bugesera
2024-08-01,2,1011444,RW57,41.0,1.5365853,4.992683,3.0,7.6772356,21.463413,74.58699,65.41371,63.105236,33.250927,final,Bugesera
2024-08-11,2,1011444,RW57,41.0,3.804878,5.774797,6.1707315,12.598374,16.658537,51.769917,81.71734,63.47593,38.151436,final,Bugesera
2024-08-21,2,1011444,RW57,41.0,9.512196,9.106504,14.853659,19.873983,21.292683,37.906506,102.875916,79.81697,61.27901,final,Bugesera
2024-09-01,2,1011444,RW57,41.0,11.487804,16.501627,24.804878,31.382927,30.90244,46.89756,76.68166,81.91995,69.179436,final,Bugesera
2024-09-11,2,1011444,RW57,41.0,4.02439,18.42439,25.024391,44.03252,33.780487,61.8,38.525616,61.233627,58.05462,final,Bugesera
2024-09-21,2,1011444,RW57,41.0,38.780487,19.609756,54.292683,54.535774,71.439026,78.786995,177.89891,99.59169,91.23018,final,Bugesera
2024-10-01,2,1011444,RW57,41.0,33.585365,29.91057,76.39024,67.94472,104.19512,107.00488,110.52631,111.57799,97.491394,final,Bugesera
2024-10-11,2,1011444,RW57,41.0,54.292683,36.430893,126.65854,85.95122,157.85365,142.5821,143.11226,144.75732,110.34783,final,Bugesera
2024-10-21,2,1011444,RW57,41.0,20.439024,39.01382,108.31708,105.355286,177.46341,179.76505,57.797806,102.68387,98.754295,final,Bugesera
2024-11-01,2,1011444,RW57,41.0,67.731705,45.547966,142.46341,120.99268,243.65854,220.32033,143.8865,117.04125,110.357796,final,Bugesera
2024-11-11,2,1011444,RW57,41.0,75.12195,36.66585,163.29268,121.227646,314.9756,251.21138,192.29643,133.32474,124.887344,final,Bugesera
2024-11-21,2,1011444,RW57,41.0,95.07317,42.9252,237.92682,125.13902,400.5366,285.0301,208.81116,186.66716,139.82568,final,Bugesera
2024-12-01,2,1011444,RW57,41.0,18.170732,29.905691,188.36586,109.49675,407.2195,298.43414,66.38095,168.88327,135.8514,final,Bugesera
2024-12-11,2,1011444,RW57,41.0,18.829268,26.860163,132.07317,99.691055,422.0244,306.8699,74.793304,130.93112,136.9239,final,Bugesera
2024-12-21,2,1011444,RW57,41.0,36.560974,34.91301,73.560974,91.67886,419.80487,322.17316,104.12888,81.25972,129.84099,final,Bugesera
2025-01-01,2,1011444,RW57,41.0,4.3170733,25.669106,59.707317,87.15691,390.5366,315.18942,30.379347,70.21429,123.53206,final,Bugesera
2025-01-11,2,1011444,RW57,41.0,28.829268,24.311382,69.70731,85.86016,365.07315,303.26178,115.41343,82.2223,120.05159,final,Bugesera
2025-01-21,2,1011444,RW57,41.0,40.634148,27.619513,73.78049,77.6,385.26828,291.4,139.8983,95.37589,131.66946,final,Bugesera
2025-02-01,2,1011444,RW57,41.0,30.121952,25.347967,99.58537,77.27886,347.65854,271.66016,115.73082,127.11086,127.46995,final,Bugesera
2025-02-11,2,1011444,RW57,41.0,13.829268,29.209757,84.58537,82.17724,286.36584,263.81546,55.040646,102.762344,108.388794,final,Bugesera
2025-02-21,2,1011444,RW57,41.0,2.8292682,23.110569,46.78049,77.66829,194.12195,243.69186,27.851688,62.63646,80.06773,final,Bugesera
2025-03-01,2,1011444,RW57,41.0,11.195122,43.055283,27.853659,95.37561,187.14633,259.81137,33.701023,32.73072,72.5597,final,Bugesera
2025-03-11,2,1011444,RW57,41.0,29.487804,36.798374,43.512196,102.964226,197.80489,271.00162,82.50992,44.933586,73.4796,final,Bugesera
2025-03-21,2,1011444,RW57,41.0,27.926828,53.117073,68.60976,132.97073,189.17075,288.239,56.656033,53.35172,66.21586,final,Bugesera
2025-04-01,2,1011444,RW57,41.0,55.09756,54.00488,112.51219,143.92032,239.95123,316.5748,101.851845,78.90944,76.1724,final,Bugesera
2025-04-11,2,1011444,RW57,41.0,62.243904,48.057724,145.2683,155.17967,273.36588,340.32114,126.73726,93.81234,80.610725,final,Bugesera
2025-04-21,2,1011444,RW57,41.0,89.34146,42.608944,206.68292,144.67154,322.07318,355.31058,198.1591,141.43164,90.775345,final,Bugesera
2025-05-01,2,1011444,RW57,41.0,43.707317,33.930893,195.29268,124.597565,335.6585,363.8935,125.11224,154.54973,92.34603,final,Bugesera
2025-05-11,2,1011444,RW57,41.0,25.634146,28.591871,158.68292,105.13171,347.4634,363.2756,91.195114,148.62471,95.70642,final,Bugesera
2025-05-21,2,1011444,RW57,41.0,24.878048,22.96992,94.21951,85.49268,369.5122,363.13498,106.822075,109.643684,101.7323,final,Bugesera
2025-06-01,2,1011444,RW57,41.0,7.878049,7.510569,58.39024,59.072357,366.19513,327.59024,102.93736,98.935394,111.60734,final,Bugesera
2025-06-11,2,1011444,RW57,41.0,11.804878,3.5219512,44.560974,34.002438,348.5122,294.3138,197.19519,127.07147,118.107544,final,Bugesera
2025-06-21,2,1011444,RW57,41.0,2.5609756,2.6227643,22.243902,13.655285,323.14633,243.8195,99.189415,146.03851,131.88127,final,Bugesera
2025-07-01,2,1011444,RW57,41.0,1.3658537,1.692683,15.731708,7.8373985,269.4146,191.50731,95.116615,161.49463,139.64601,final,Bugesera
2025-07-11,2,1011444,RW57,41.0,1.0731708,0.85365856,5.0,5.1691055,208.2439,144.30325,103.74999,98.33707,142.82602,final,Bugesera
2025-07-21,2,1011444,RW57,41.0,0.9512195,1.8308944,3.390244,4.377236,119.85366,103.5252,87.122116,89.474594,115.04578,final,Bugesera
